
Vi  V 0 100
R0  0 net61 41.5
R1  net61 net60 10
R2  net60 net28 68
R3  net28 net41 6
R4  net41 net49 6
R5  net49 net99 22
R6  net78 net99 8
R7  net78 net50 10
R8  net49 net50 4
R9  net50 net51 2
R10  net51 net41 12
R11  net51 net79 14
R12  net78 net79 6
R13  net79 net80 8
R14  net80 net90 4
R15  net90 net101 4
R16  net100 net101 8
R17  net100 net119 8
R18  net119 net127 16
R19  net127 net141 8
R20  net141 net149 10
R21  0 net149 1.5
R22  net149 net142 18
R23  net141 net142 8
R24  net142 net128 12
R25  net127 net128 12
R26  net128 net121 22
R27  net103 net121 8
R28  net102 net103 4
R29  net102 net120 8
R30  net119 net120 14
R31  net120 net121 4
R32  net121 net108 6
R33  net104 net108 4
R34  net103 net104 2
R35  net104 net108 8
R36  net101 net102 6
R37  net99 net100 6
R38  net90 net80 12
R39  V net28 11.5
R40  net60 net61 2
R41  0 net3 1.5
R42  net3 net20 18
R43  net20 net34 12
R44  net34 net65 12
R45  net65 net85 10
R46  net85 net53 22
R47  net36 net53 8
R48  net23 net36 6
R49  net23 net15 14
R50  net15 net35 12
R51  net35 net66 12
R52  net66 net85 6
R53  net65 net66 4
R54  net35 net36 8
R55  net14 net15 4
R56  net14 net34 12
R57  net14 net9 8
R58  net9 net20 8
R59  net9 net3 10
R60  net23 net24 8
R61  net24 net37 6
R62  net37 net53 16
R63  net37 net25 14
R64  net22 net25 2
R65  net22 net18 10
R66  net18 net25 12
R67  net18 net12 6
R68  V net12 9.5
R69  net12 0 123.5
R70  net22 net24 10
R71  net63 net75 10
R72  net75 net88 8
R73  net88 net96 16
R74  net96 net116 8
R75  net115 net116 8
R76  net115 net137 16
R77  net137 net160 14
R78  net160 net170 12
R79  net170 net161 10
R80  net161 net138 10
R81  net138 net116 14
R82  net137 net138 6
R83  net160 net161 2
R84  net170 net184 6
R85  net184 0 115.5
R86  net184 V 9.5
R87  net115 net111 14
R88  net107 net111 2
R89  net107 net95 6
R90  net95 net87 22
R91  net87 net74 12
R92  net74 net63 18
R93  net63 0 1.5
R94  net74 net75 8
R95  net87 net88 12
R96  net95 net96 18
R97  net107 net111 10
R98  net123 net158 12
R99  net158 net176 8
R100  net176 net188 14
R101  net188 net192 10
R102  net192 net198 10
R103  net198 net203 6
R104  net203 V 9.5
R105  net203 0 123.5
R106  net198 net187 12
R107  net187 net192 2
R108  net187 net175 14
R109  net175 net188 6
R110  net175 net158 16
R111  net176 net177 8
R112  net177 net201 16
R113  net201 net206 8
R114  net206 net208 10
R115  net208 0 1.5
R116  net208 net194 18
R117  net194 net206 8
R118  net194 net178 12
R119  net178 net201 12
R120  net178 net130 22
R121  net130 net177 18
R122  net130 net124 8
R123  net124 net123 10
R124  net123 net124 2
.op

.end
